UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,LATITUDE,LONGITUDE,TOTAL ELECTORS,MALAY (%),CHINESE (%),INDIANS (%),ORANG ASLI (%),BUMIPUTERA SABAH (%),BUMIPUTERA SARAWAK (%),OTHERS (%),ELECTORS - NORMAL VOTERS (%),ELECTORS - ABSENT VOTERS (%),ELECTORS - POLICE (%),ELECTORS - MILITARY (%),18-20 (%),21-29 (%),30-39 (%),40-49 (%),50-59 (%),60-69 (%),70-79 (%),80-89 (%),ABOVE 90 (%),MALE ELECTORS (%),WOMEN ELECTORS (%),URBAN-RURAL CLASSIFICATION (2022)
P.074,Perak,P.074,Lumut,4.2246469,100.6211525,92972,72.2,14.13,11.36,0.03,1.07,0.63,0.59,90.39,0.01,0.56,9.03,6.61,23.94,25.1,17.04,12.43,9.62,3.97,1.02,0.25,52.54,47.46,SEMI URBAN
P.075,Perak,P.075,Bagan Datuk,3.9166667,100.9166667,58183,56.44,20.44,21.6,0.01,0.31,0.07,1.13,99.79,0.01,0.2,0,4.84,19.36,24.2,17,14.03,11.34,6.69,2.05,0.51,50.42,49.58,RURAL
P.076,Perak,P.076,Teluk Intan,4.023176,101.026184,87222,41.88,38.36,18.69,0.25,0.05,0.05,0.71,99.54,0.01,0.45,0,4.98,19.18,22.33,16.49,14,12.74,7.24,2.4,0.64,48.95,51.05,URBAN
P.077,Perak,P.077,Tanjong Malim,3.6900079,101.5234848,93873,54.96,23.65,13,7.19,0.13,0.1,0.96,99.48,0,0.45,0.06,5.49,19.39,23.62,18,12.77,11.3,6.91,2.02,0.5,50.16,49.84,SEMI URBAN
P.078,Pahang,P.078,Cameron Highlands,4.4781546,101.4833091,46020,30.97,27.15,12.19,28.71,0.28,0.11,0.59,99.22,0.01,0.54,0.23,7.17,22.76,22.45,16.8,13.32,9.95,5.19,1.86,0.5,50.56,49.44,SEMI URBAN
P.079,Pahang,P.079,Lipis,4.3242506,101.9085845,47124,78.23,14.76,4.99,1.14,0.11,0.08,0.69,98.08,0,0.63,1.29,6.02,22.01,23.76,15.61,13.88,10.86,5.24,2.17,0.45,50.88,49.12,RURAL
P.080,Pahang,P.080,Raub,3.7950465,101.8560075,75064,52.06,36.59,6.19,4.34,0.07,0.06,0.69,99.49,0.01,0.45,0.05,5.27,19.24,23.14,16.59,14.56,12.16,6.34,2.28,0.41,50.68,49.32,SEMI URBAN
P.081,Pahang,P.081,Jerantut,4.2834137,102.5575232,87051,82.2,11.77,2.45,2.66,0.09,0.07,0.75,99.59,0.01,0.37,0.04,6.36,20.94,25.09,18.81,12.45,8.79,5.86,1.48,0.21,50.19,49.81,RURAL
P.082,Pahang,P.082,Indera Mahkota,3.829399,103.2942076,120549,67.34,25.48,5.58,0.09,0.4,0.26,0.86,98.33,0.01,0.99,0.67,8.48,25.95,23.24,16.07,12.7,9.16,3.37,0.88,0.15,50.02,49.98,URBAN
P.083,Pahang,P.083,Kuantan,3.7985637,103.32199,87597,69.03,26.3,3.22,0.22,0.17,0.13,0.92,98.2,0.01,1.75,0.04,6.51,21.69,21.83,16.03,14.52,11.74,5.58,1.73,0.38,50.43,49.57,SEMI URBAN
