UNIQUE_CODE,STATE,PARLIAMENTARY_CONSTITUENCY_CODE,PARLIAMENTARY_NAME,LATITUDE,LONGITUDE,TOTAL_ELECTORS,Malay,Chinese,Indian,Orang Asli,Bumiputera Sabah,Bumiputera Sarawak,Others
P.171,Sabah,P.171,Sepanggar,6.0679124,116.0743453,62415,16.21,19.6,0.54,0.02,57.35,0.79,5.49
P.172,Sabah,P.172,Kota Kinabalu,5.9780066,116.0728988,56220,5.37,63.81,0.93,0,26.07,0.43,3.39
P.173,Sabah,P.173,Putatan,5.8814478,116.0656182,41312,22.53,16.09,0.73,0.02,53.7,1.07,5.86
P.174,Sabah,P.174,Penampang,5.8626228,116.1138146,53131,5.3,33.51,0.74,0,58.11,0.69,1.65
P.175,Sabah,P.175,Papar,5.7461495,116.0449789,43586,10.27,7.79,0.38,0,77.55,0.61,3.4
P.176,Sabah,P.176,Kimanis,5.6150677,115.8883036,29618,11.36,3.65,0.16,0,81.82,0.54,2.47
P.177,Sabah,P.177,Beaufort,5.2911244,115.672474,33342,8.32,6.84,0.33,0.01,81.85,0.63,2.02
P.178,Sabah,P.178,Sipitang,4.634452,115.6861012,31882,9.71,4.05,0.18,0,82.36,1.69,2.01
P.179,Sabah,P.179,Ranau,5.8980313,116.6696079,43706,3.07,1.78,0.07,0.01,94.03,0.33,0.71
P.180,Sabah,P.180,Keningau,5.2179477,116.2463149,51177,5.7,8.92,0.2,0.01,82.26,0.65,2.26
P.181,Sabah,P.181,Tenom,4.9104025,115.9050951,29182,7.09,10.49,0.12,0,80.13,0.49,1.68
P.182,Sabah,P.182,Pensiangan,4.5384978,116.3117345,31377,2.69,1.27,0.08,0,94.83,0.28,0.85
P.183,Sabah,P.183,Beluran,6.1366933,117.3629228,28509,8.64,0.99,0.16,0,82.33,1.25,6.63
P.184,Sabah,P.184,Libaran,6.1154317,118.0218224,47914,27.17,17.17,0.26,0.01,40.7,0.93,13.76
P.185,Sabah,P.185,Batu Sapi,5.8037817,118.0445333,32574,17.48,30.86,0.31,0.03,40.83,0.87,9.62
P.186,Sabah,P.186,Sandakan,5.8391274,118.1158598,39777,13.91,50.71,0.62,0.01,27.34,0.63,6.78
P.187,Sabah,P.187,Kinabatangan,5.332648,118.1212915,28730,15.87,0.73,0.12,0.01,76.72,0.97,5.58
P.188,Sabah,P.188,Silam,4.9566648,118.164739,60942,25.71,11.05,0.44,0.01,50.52,1.11,11.16
P.189,Sabah,P.189,Semporna,4.4790765,118.4297732,48248,9.55,1.76,0.11,0.02,85.62,0.37,2.57
P.190,Sabah,P.190,Tawau,4.2435206,117.885331,59919,34.8,34.61,0.29,0.01,18.05,0.98,11.26
P.191,Sabah,P.191,Kalabakan,4.4808936,117.4071326,52199,47.97,8.97,0.35,0.02,20.05,1.97,20.67
P.192,Sarawak,P.192,Mas Gading,1.4166866,110.1561153,29617,5.16,17.76,0.15,0.02,0.24,76.46,0.21
P.193,Sarawak,P.193,Santubong,1.7368773,110.3325372,45628,80.27,7.73,0.03,0.01,0.1,11.76,0.1
P.194,Sarawak,P.194,Petra Jaya,1.5715783,110.351203,57925,73.24,13.27,0.55,0.01,0.22,12.42,0.29
P.195,Sarawak,P.195,Bandar Kuching,1.6346489,110.3422861,81856,4.03,88.71,0.67,0,0.17,6.18,0.24
P.196,Sarawak,P.196,Stampin,1.5078284,110.3516797,66240,16.15,64.21,0.69,0.02,0.23,18.47,0.23
P.197,Sarawak,P.197,Kota Samarahan,1.4596157,110.4954562,46300,61.79,11.3,0.24,0.06,0.58,25.76,0.27
P.198,Sarawak,P.198,Puncak Borneo,1.3350614,110.3048801,46180,4.78,25.96,0.19,0.12,0.25,68.43,0.27
